person,server
0,10944
0,19453
0,14296
0,13954
0,4321
0,19525
2,8695
2,15587
2,3953
2,17259
2,19668
3,11946
3,179
3,7731
5,8722
5,18979
5,15726
5,17325
5,3463
5,1498
6,3359
6,14667
6,8168
6,10558
6,18751
6,10433
6,2163
6,3164
6,10904
6,10488
6,12752
6,8029
6,12996
6,7938
6,12478
6,15348
6,3579
6,7511
7,13733
7,5073
7,11094
7,12498
7,17910
7,7257
7,12751
7,3828
7,9955
7,3648
7,18367
7,8636
7,16603
8,18093
8,8096
8,6623
8,11442
8,16908
8,17220
8,11913
8,1693
8,11945
8,4909
9,17893
9,10294
10,1301
10,10801
10,2583
10,12291
10,7273
10,15355
10,970
10,2196
10,13680
10,10293
10,11432
10,16874
10,9754
10,16202
10,10204
10,18534
10,13338
10,2974
11,17315
11,7005
11,3780
11,9452
11,7855
11,12378
11,8735
11,5218
11,8249
12,18048
12,19592
12,12471
12,1663
12,14659
12,13573
12,16520
12,6949
12,1177
12,12236
13,15190
13,15888
14,18875
14,3475
14,18851
14,9309
14,15259
14,15056
14,19624
14,19465
14,801
14,319
15,677
15,13149
15,10698
15,13331
15,8826
15,5449
15,18993
15,14565
15,126
15,1986
15,12633
15,5760
15,8152
15,15630
15,7082
16,14409
16,11038
16,3619
16,8191
16,15257
17,1473
17,2695
17,14800
17,16675
17,1775
17,16588
17,15734
17,13764
17,6798
18,7326
18,16809
18,6566
18,6451
18,18705
18,18399
18,19373
18,16150
18,1738
18,1818
18,11141
19,17683
19,12736
19,19116
20,4431
20,6649
20,5136
21,2368
21,7506
21,595
21,10755
21,18916
21,8902
21,12483
22,18667
22,14690
22,16496
22,6716
22,18149
22,3704
22,8159
22,14749
22,6669
22,17722
22,17213
22,3302
22,4614
22,1048
22,17174
22,6784
22,7864
22,5407
23,9138
23,4694
24,4055
24,10227
24,18966
24,7436
24,19084
24,1144
24,10976
24,11995
24,19235
24,18503
24,10218
24,15189
24,19518
24,14730
24,19079
24,18777
25,13197
25,3596
25,8740
25,17322
25,11544
25,5589
25,2455
25,4637
25,2499
25,4675
25,7671
25,857
25,16774
26,11347
26,12722
26,2656
26,1654
26,3130
26,19724
26,2090
26,8453
26,17501
26,11685
28,7682
28,3354
28,6743
28,11882
30,12202
30,4575
30,8520
30,3870
30,426
30,11678
30,8907
30,16841
30,3981
30,8811
30,13349
30,1366
30,7106
30,13720
30,4901
30,7279
30,11547
30,8188
30,17535
30,17197
31,8525
31,3802
31,12777
32,10116
32,13021
32,18798
32,16164
32,2464
32,18149
32,13541
32,6388
32,14599
32,9499
32,11220
33,3029
33,7239
33,8714
33,1154
33,14474
33,6536
33,9537
33,18961
33,17359
33,5461
33,8005
33,11424
33,2389
33,15923
33,6475
33,2312
34,10298
34,542
35,15284
35,620
35,13151
35,5002
35,8705
35,1443
35,10644
35,18776
35,6096
35,1270
35,16964
35,18951
35,9821
35,18170
35,18172
35,14690
36,3240
36,16910
36,8312
37,11237
37,17149
37,8663
37,1555
37,5745
37,5706
38,19101
38,11002
39,14062
39,2954
39,1232
39,12980
39,7515
40,1479
40,9593
40,12122
40,19650
40,429
40,10334
40,9735
40,12502
40,17063
40,9960
40,11451
41,15928
41,18138
41,6453
41,14487
41,13095
41,7465
41,16069
41,13901
41,9837
41,11438
41,18978
41,12803
41,12697
42,15638
42,17447
42,6189
42,6528
42,13463
42,5777
42,1634
42,5761
42,13941
43,11601
43,12524
43,10702
43,19226
43,16213
43,19267
43,13866
43,16034
43,15027
43,18821
43,6809
43,6488
43,238
44,19233
45,2432
45,2157
45,10352
45,13030
45,16682
45,11428
45,6678
45,14016
45,3753
45,6655
45,2418
45,13613
46,8789
46,4605
46,16873
46,7929
46,18245
46,5435
46,12745
46,14749
46,3385
46,3641
46,15293
46,1788
46,9567
46,1656
46,19274
47,4647
47,16868
47,14950
48,5338
48,12836
49,6872
49,2579
50,15279
50,10422
50,3887
50,6086
50,15147
50,9214
50,15304
50,3520
50,13698
50,15991
50,17749
50,5966
50,18243
51,5883
51,619
51,13293
51,18988
51,11490
51,6005
51,6595
51,9813
51,19679
51,8610
51,7744
51,9890
51,4434
51,5814
51,16201
51,17857
51,7404
52,18070
52,14268
52,9155
52,19162
52,17709
52,9250
52,3868
52,16721
52,17952
52,13439
52,16107
52,380
52,12412
53,5717
53,3107
53,17809
54,7164
54,11553
54,4558
55,13731
55,15223
55,17592
55,13177
55,15988
55,3791
55,14381
55,19617
56,15685
56,17859
56,9101
56,6354
57,11709
57,807
57,5398
57,11689
57,1297
57,1255
57,7527
57,2423
57,8294
57,13497
57,9444
57,371
57,18570
57,5018
57,147
57,8851
57,17012
57,18672
57,2663
57,1381
58,16884
58,18297
58,15809
59,16354
59,796
59,3521
62,19987
62,11110
62,2959
62,2723
62,18230
62,18354
62,11695
63,11992
63,14258
64,8696
64,1544
64,1558
64,13082
64,1177
64,2160
64,17661
65,2270
65,4418
65,19813
65,18393
65,12563
66,15797
66,9755
66,19513
66,15365
66,12741
66,2241
66,14407
66,2349
66,2926
66,17249
66,11467
66,11259
67,16906
67,18935
68,803
69,19559
70,7511
70,12185
70,2425
70,7775
70,5921
70,13496
70,3131
70,19460
70,823
70,2058
70,3305
70,19796
70,5166
70,13739
70,13561
71,5960
71,14906
71,1640
71,438
71,8113
71,6464
71,1414
71,1726
71,10014
72,13992
72,3598
72,7162
72,13621
72,1548
72,3933
73,9418
74,17259
74,637
74,2762
74,5545
74,8281
74,6085
74,19810
74,7080
74,18154
74,19869
74,5838
74,3091
74,17057
74,291
74,2509
75,460
75,12711
75,330
75,5468
76,13437
76,2438
76,10780
76,14189
76,922
76,9264
76,7401
76,1443
76,11623
76,1545
76,13693
76,10063
76,17282
76,9563
76,17051
76,7153
77,12041
77,13823
77,6108
77,977
77,13980
77,15182
77,17576
