streams,time(ms),damping_factor,threshold,epochs,K,percent_LT,percent_IC
12,36.8265,0.1,0.8,30,100,0.8740508251493369,0.6699402652627316
12,36.8589,0.15,0.8,30,100,0.8752657689581856,0.6649792447099322
12,36.81,0.2,0.8,30,100,0.8737470891971246,0.6767237015288043
12,36.7834,0.25,0.8,30,100,0.8736458438797206,0.6773311734332287
12,36.9294,0.3,0.8,30,100,0.8732408626101043,0.6555634301913537
12,37.0211,0.35,0.8,30,100,0.8735445985623165,0.6756100030373595
12,39.1247,0.4,0.8,30,100,0.8735445985623165,0.6622456211400223
12,39.1386,0.45,0.8,30,100,0.8737470891971246,0.6611319226485775
12,39.0326,0.5,0.8,30,100,0.8733421079275083,0.6671053963754177
12,39.0609,0.55,0.8,30,100,0.872835881340488,0.6678141135972461
12,39.1263,0.6,0.8,30,100,0.8747595423711654,0.654652222334717
12,39.0959,0.65,0.8,30,100,0.8736458438797206,0.6682190948668624
12,38.9479,0.7,0.8,30,100,0.8738483345145287,0.6625493570922345
12,38.9116,0.75,0.8,30,100,0.8746582970537613,0.6613344132833856
12,39.0817,0.8,0.8,30,100,0.8734433532449124,0.6702440012149438
12,38.9348,0.85,0.8,30,100,0.8731396172927002,0.6694340386757113
12,40.0537,0.9,0.8,30,100,0.8732408626101043,0.6644730181229118
12,40.3415,0.95,0.8,30,100,0.872937126657892,0.6704464918497519
12,38.9777,1.0,0.8,30,100,0.8763794674496305,0.6617393945530019
12,38.3679,0.0,0.8,30,100,0.8730383719752961,0.6644730181229118
12,34.3489,0.0,0.8,30,100,0.8737470891971246,0.6599169788397287
4,34.2207,0.0,0.8,30,100,0.872734636023084,0.6605244507441531
12,34.471,0.3,0.1,30,100,0.8740508251493369,0.6684215855016705
12,34.5258,0.3,0.2,30,100,0.872835881340488,0.669130302723499
