streams,time(ms),damping_factor,threshold,epochs,K,percent_LT,percent_IC
12,38.5777,0.1,0.8,30,100,0.9795,0.9795
12,39.1143,0.15,0.8,30,100,0.97825,0.97825
12,38.4774,0.2,0.8,30,100,0.97825,0.97825
12,38.3549,0.25,0.8,30,100,0.9785,0.9785
12,38.6676,0.3,0.8,30,100,0.9785,0.9785
12,38.6172,0.35,0.8,30,100,0.97775,0.97775
12,40.9964,0.4,0.8,30,100,0.97775,0.97775
12,40.4037,0.45,0.8,30,100,0.97825,0.97825
12,40.8876,0.5,0.8,30,100,0.9785,0.9785
12,40.2991,0.55,0.8,30,100,0.9785,0.9785
12,40.48,0.6,0.8,30,100,0.9745,0.977
12,40.3958,0.65,0.8,30,100,0.97875,0.97875
12,40.4586,0.7,0.8,30,100,0.979,0.979
12,40.4787,0.75,0.8,30,100,0.97775,0.97775
12,40.2922,0.8,0.8,30,100,0.9775,0.9775
12,40.4325,0.85,0.8,30,100,0.97725,0.97725
12,40.1302,0.9,0.8,30,100,0.97725,0.97725
12,41.1893,0.95,0.8,30,100,0.97775,0.97775
12,40.507,1.0,0.8,30,100,0.97925,0.97925
12,38.0405,0.0,0.8,30,100,0.979,0.979
12,34.5048,0.0,0.8,30,100,0.97725,0.97725
4,34.294,0.0,0.8,30,100,0.978,0.978
12,34.6779,0.3,0.1,30,100,0.978,0.978
12,34.555,0.3,0.2,30,100,0.97425,0.97725
