streams,time(ms),damping_factor,threshold,epochs,K,percent_LT,percent_IC
12,37.1823,0.1,0.8,30,100,0.3330990864371047,0.3229796205200281
12,37.1861,0.15,0.8,30,100,0.0203794799718903,0.3225579761068166
12,37.2087,0.2,0.8,30,100,0.3312719606465214,0.3225579761068166
12,37.5423,0.25,0.8,30,100,0.3312719606465214,0.3196064652143359
12,37.2055,0.3,0.8,30,100,0.3333801827125791,0.3210119465917077
12,37.6149,0.35,0.8,30,100,0.0255797610681658,0.3226985242445537
12,39.8298,0.4,0.8,30,100,0.0217849613492621,0.3219957835558679
12,39.3829,0.45,0.8,30,100,0.023330990864371,0.3231201686577652
12,39.8361,0.5,0.8,30,100,0.3338018271257906,0.3229796205200281
12,39.4566,0.55,0.8,30,100,0.3329585382993675,0.3241040056219255
12,39.2179,0.6,0.8,30,100,0.3333801827125791,0.3217146872803935
12,39.3106,0.65,0.8,30,100,0.332536893886156,0.3214335910049192
12,39.1752,0.7,0.8,30,100,0.3323963457484188,0.3229796205200281
12,39.2566,0.75,0.8,30,100,0.3339423752635277,0.3232607167955024
12,39.0911,0.8,0.8,30,100,0.0286718200983836,0.321293042867182
12,39.3867,0.85,0.8,30,100,0.3322557976106816,0.3236823612087139
12,40.4784,0.9,0.8,30,100,0.3333801827125791,0.3225579761068166
12,40.0911,0.95,0.8,30,100,0.3339423752635277,0.3214335910049192
12,39.1354,1.0,0.8,30,100,0.3329585382993675,0.3236823612087139
12,38.0192,0.0,0.8,30,100,0.0174279690794097,0.3210119465917077
12,34.3546,0.0,0.8,30,100,0.0192550948699929,0.3229796205200281
4,34.2259,0.0,0.8,30,100,0.3336612789880534,0.3241040056219255
12,34.5465,0.3,0.1,30,100,0.0175685172171468,0.3250878425860857
12,34.5653,0.3,0.2,30,100,0.33464511595221363,0.3241040056219255
